Order Date,Sales
2014-01-31,1873.355
2014-02-28,583.438
2014-03-31,4502.273
2014-04-30,3270.527
2014-05-31,2788.799
2014-06-30,5051.7376
2014-07-31,5782.129
2014-08-31,2271.336
2014-09-30,7551.479
2014-10-31,4352.003
2014-11-30,11455.2717
2014-12-31,9852.5625
2015-01-31,903.612
2015-02-28,1865.554
2015-03-31,2504.8846
2015-04-30,3303.731
2015-05-31,3814.6615
2015-06-30,3175.256
2015-07-31,7514.577
2015-08-31,3924.211
2015-09-30,6402.441
2015-10-31,7064.5380000000005
2015-11-30,9344.1762
2015-12-31,7837.2032
2016-01-31,3469.199
2016-02-29,2985.367
2016-03-31,5839.941
2016-04-30,4428.186
2016-05-31,4137.197
2016-06-30,5676.115
2016-07-31,7970.644
2016-08-31,4192.2758
2016-09-30,11502.4545
2016-10-31,5489.529
2016-11-30,9736.785
2016-12-31,9653.078
2017-01-31,4434.752
2017-02-28,3687.1374
2017-03-31,5058.8048
2017-04-30,5771.6496
2017-05-31,5976.3514
2017-06-30,7768.5335
2017-07-31,6065.421
2017-08-31,4646.69
2017-09-30,8734.026
2017-10-31,9517.703
2017-11-30,12252.186
2017-12-31,12918.1728
